cd_uf;nm_uf;cd6_mun;cd_mun;nm_mun
11;Rondônia;110001;1100015;Alta Floresta D'Oeste
11;Rondônia;110037;1100379;Alto Alegre dos Parecis
11;Rondônia;110040;1100403;Alto Paraíso
11;Rondônia;110034;1100346;Alvorada D'Oeste
11;Rondônia;110002;1100023;Ariquemes
11;Rondônia;110045;1100452;Buritis
11;Rondônia;110003;1100031;Cabixi
11;Rondônia;110060;1100601;Cacaulândia
11;Rondônia;110004;1100049;Cacoal
11;Rondônia;110070;1100700;Campo Novo de Rondônia
11;Rondônia;110080;1100809;Candeias do Jamari
11;Rondônia;110090;1100908;Castanheiras
11;Rondônia;110005;1100056;Cerejeiras
11;Rondônia;110092;1100924;Chupinguaia
11;Rondônia;110006;1100064;Colorado do Oeste
11;Rondônia;110007;1100072;Corumbiara
11;Rondônia;110008;1100080;Costa Marques
11;Rondônia;110094;1100940;Cujubim
11;Rondônia;110009;1100098;Espigão D'Oeste
11;Rondônia;110100;1101005;Governador Jorge Teixeira
11;Rondônia;110010;1100106;Guajará-Mirim
11;Rondônia;110110;1101104;Itapuã do Oeste
11;Rondônia;110011;1100114;Jaru
11;Rondônia;110012;1100122;Ji-Paraná
11;Rondônia;110013;1100130;Machadinho D'Oeste
11;Rondônia;110120;1101203;Ministro Andreazza
11;Rondônia;110130;1101302;Mirante da Serra
11;Rondônia;110140;1101401;Monte Negro
11;Rondônia;110014;1100148;Nova Brasilândia D'Oeste
11;Rondônia;110033;1100338;Nova Mamoré
11;Rondônia;110143;1101435;Nova União
11;Rondônia;110050;1100502;Novo Horizonte do Oeste
11;Rondônia;110015;1100155;Ouro Preto do Oeste
11;Rondônia;110145;1101450;Parecis
11;Rondônia;110018;1100189;Pimenta Bueno
11;Rondônia;110146;1101468;Pimenteiras do Oeste
11;Rondônia;110020;1100205;Porto Velho
11;Rondônia;110025;1100254;Presidente Médici
11;Rondônia;110147;1101476;Primavera de Rondônia
11;Rondônia;110026;1100262;Rio Crespo
11;Rondônia;110028;1100288;Rolim de Moura
11;Rondônia;110029;1100296;Santa Luzia D'Oeste
11;Rondônia;110148;1101484;São Felipe D'Oeste
